time,variable,measurement
0,gravitational_energy,0
0,acoustic_energy,0
0,acoustic_kinetic_energy,0
0,elastic_energy,0
0,elastic_kinetic_energy,0
0,momentumX,0
0,momentumY,0
0,momentumZ,0
0,plastic_moment,0
0,total_frictional_work,0
0,static_frictional_work,0
0,seismic_moment,0
0,potency,0
0,plastic_moment,0
0.5,gravitational_energy,0
0.5,acoustic_energy,0
0.5,acoustic_kinetic_energy,0
0.5,elastic_energy,8.97974e+11
0.5,elastic_kinetic_energy,2.81282e+11
0.5,momentumX,0.0136261
0.5,momentumY,-0.00213051
0.5,momentumZ,2.00272e-05
0.5,plastic_moment,0
0.5,total_frictional_work,1.17204e+12
0.5,static_frictional_work,9.14837e+11
0.5,seismic_moment,4.14098e+15
0.5,potency,330884
0.5,plastic_moment,0
1,gravitational_energy,0
1,acoustic_energy,0
1,acoustic_kinetic_energy,0
1,elastic_energy,3.57459e+12
1,elastic_kinetic_energy,5.61931e+11
1,momentumX,0.0681152
1,momentumY,-0.0222778
1,momentumZ,-0.00509644
1,plastic_moment,0
1,total_frictional_work,4.12424e+12
1,static_frictional_work,3.3264e+12
1,seismic_moment,2.03938e+16
1,potency,1.62956e+06
1,plastic_moment,0
1.5,gravitational_energy,0
1.5,acoustic_energy,0
1.5,acoustic_kinetic_energy,0
1.5,elastic_energy,7.42195e+12
1.5,elastic_kinetic_energy,1.30652e+12
1.5,momentumX,-1.73132
1.5,momentumY,-66.0936
1.5,momentumZ,7.71172
1.5,plastic_moment,0
1.5,total_frictional_work,8.68158e+12
1.5,static_frictional_work,7.465e+12
1.5,seismic_moment,5.38148e+16
1.5,potency,4.30006e+06
1.5,plastic_moment,0
2,gravitational_energy,0
2,acoustic_energy,0
2,acoustic_kinetic_energy,0
2,elastic_energy,1.64015e+13
2,elastic_kinetic_energy,3.60403e+12
2,momentumX,-580.272
2,momentumY,1476.31
2,momentumZ,403.417
2,plastic_moment,0
2,total_frictional_work,1.99106e+13
2,static_frictional_work,1.62527e+13
2,seismic_moment,1.26778e+17
2,potency,1.01302e+07
2,plastic_moment,0
2.5,gravitational_energy,0
2.5,acoustic_energy,0
2.5,acoustic_kinetic_energy,0
2.5,elastic_energy,3.22548e+13
2.5,elastic_kinetic_energy,7.79251e+12
2.5,momentumX,15946.7
2.5,momentumY,-27.5042
2.5,momentumZ,4161.69
2.5,plastic_moment,0
2.5,total_frictional_work,3.98589e+13
2.5,static_frictional_work,3.06853e+13
2.5,seismic_moment,2.50621e+17
2.5,potency,2.00258e+07
2.5,plastic_moment,0
3,gravitational_energy,0
3,acoustic_energy,0
3,acoustic_kinetic_energy,0
3,elastic_energy,5.37382e+13
3,elastic_kinetic_energy,1.30195e+13
3,momentumX,8731.42
3,momentumY,-3511.32
3,momentumZ,-275028
3,plastic_moment,0
3,total_frictional_work,6.64623e+13
3,static_frictional_work,4.92031e+13
3,seismic_moment,4.16613e+17
3,potency,3.32894e+07
3,plastic_moment,0
3.5,gravitational_energy,0
3.5,acoustic_energy,0
3.5,acoustic_kinetic_energy,0
3.5,elastic_energy,7.52048e+13
3.5,elastic_kinetic_energy,1.63805e+13
3.5,momentumX,-5.60829e+06
3.5,momentumY,1.3981e+06
