time,variable,measurement
0,gravitational_energy,0
0,acoustic_energy,0
0,acoustic_kinetic_energy,0
0,elastic_energy,0
0,elastic_kinetic_energy,0
0,plastic_moment,0
0,total_frictional_work,0
0,static_frictional_work,0
0,seismic_moment,0
0,plastic_moment,0
1,gravitational_energy,0
1,acoustic_energy,0
1,acoustic_kinetic_energy,0
1,elastic_energy,7.95163e+16
1,elastic_kinetic_energy,7.80448e+14
1,plastic_moment,0
1,total_frictional_work,0
1,static_frictional_work,0
1,seismic_moment,0
1,plastic_moment,0
2,gravitational_energy,0
2,acoustic_energy,0
2,acoustic_kinetic_energy,0
2,elastic_energy,7.90891e+16
2,elastic_kinetic_energy,6.27845e+14
2,plastic_moment,0
2,total_frictional_work,0
2,static_frictional_work,0
2,seismic_moment,0
2,plastic_moment,0
